Dataset;Feature Selection Algorithm;Baseline;Relative Fitness;
glass,arff;Sequential Forward Selection;0,33878505;0,30536423;
glass,arff;Sequential Backward Selection;0,33878505;0,34053066;
glass,arff;GA;0,33878505;0,33545047;
glass,arff;AMSO;0,33878505;0,30595759;
ionosphere,arff;Random;0,68714286;0,18824852;
ionosphere,arff;Pearson Correlation Ranker;0,68714286;0,25248576;
ionosphere,arff;Info Gain Ranker;0,68714286;0,26126064;
ionosphere,arff;Sequential Forward Selection;0,68714286;0,25942115;
ionosphere,arff;Sequential Backward Selection;0,68714286;0,24399756;
ionosphere,arff;AMSO;0,68714286;0,27178779;
ionosphere,arff;GA;0,68714286;0,27491508;
molecular-biology,arff;Random;0,03301887;0,14681519;
molecular-biology,arff;Info Gain Ranker;0,03301887;0,32313431;
molecular-biology,arff;Pearson Correlation Ranker;0,03301887;0,33946817;
molecular-biology,arff;Sequential Forward Selection;0,03301887;0,43634185;
molecular-biology,arff;Sequential Backward Selection;0,03301887;0,26442504;
molecular-biology,arff;AMSO;0,03301887;0,39155208;
molecular-biology,arff;GA;0,03301887;0,41040147;
