Dataset;Feature Selection Algorithm;Baseline;Relative Fitness;
breast-cancer,arff;Pearson Correlation Ranker;0,72027972;0,02797203;
breast-cancer,arff;Info Gain Ranker;0,72027972;0,01398601;
breast-cancer,arff;Sequential Backward Selection;0,72027972;0,03496504;
breast-cancer,arff;Random;0,72027972;-0,01188811;
breast-cancer,arff;Sequential Forward Selection;0,72027972;0,04895105;
breast-cancer,arff;GA;0,72027972;0,05058275;
breast-cancer,arff;AMSO;0,72027972;0,04149184;
solar-flare,arff;Info Gain Ranker;0,98136646;0,0;
solar-flare,arff;Pearson Correlation Ranker;0,98136646;0,0;
solar-flare,arff;Sequential Forward Selection;0,98136646;0,0;
solar-flare,arff;Random;0,98136646;-0,0010352;
solar-flare,arff;Sequential Backward Selection;0,98136646;0,0;
solar-flare,arff;GA;0,98136646;0,0;
solar-flare,arff;AMSO;0,98136646;0,0;
sponge,arff;Random;0,84210526;0,0;
sponge,arff;Pearson Correlation Ranker;0,84210526;0,0;
sponge,arff;Info Gain Ranker;0,84210526;0,0;
sponge,arff;Sequential Forward Selection;0,84210526;0,0;
sponge,arff;GA;0,84210526;0,0;
sponge,arff;Sequential Backward Selection;0,84210526;0,0;
sponge,arff;AMSO;0,84210526;0,0;
flags,arff;Pearson Correlation Ranker;0,54639175;0,08247423;
flags,arff;Info Gain Ranker;0,54639175;0,08247423;
flags,arff;Random;0,54639175;-0,07147766;
flags,arff;Sequential Forward Selection;0,54639175;0,09278351;
flags,arff;Sequential Backward Selection;0,54639175;0,15463918;
flags,arff;AMSO;0,54639175;0,09725086;
flags,arff;GA;0,54639175;0,13780069;
heart-h,arff;Info Gain Ranker;0,27891156;0,0;
heart-h,arff;Pearson Correlation Ranker;0,27891156;0,0;
heart-h,arff;Sequential Forward Selection;0,27891156;0,0;
heart-h,arff;Random;0,27891156;0,0;
heart-h,arff;Sequential Backward Selection;0,27891156;0,0;
heart-h,arff;GA;0,27891156;0,0;
heart-h,arff;AMSO;0,27891156;0,0;
zoo,arff;Info Gain Ranker;0,82;0,06;
zoo,arff;Pearson Correlation Ranker;0,82;0,02;
zoo,arff;Random;0,82;-0,03866667;
zoo,arff;Sequential Forward Selection;0,82;-0,04;
zoo,arff;Sequential Backward Selection;0,82;0,08;
zoo,arff;AMSO;0,82;0,03133333;
zoo,arff;GA;0,82;0,07;
lymph,arff;Pearson Correlation Ranker;0,75675676;0,05405405;
lymph,arff;Info Gain Ranker;0,75675676;0,1081081;
lymph,arff;Random;0,75675676;-0,05855856;
lymph,arff;Sequential Forward Selection;0,75675676;0,06756756;
lymph,arff;Sequential Backward Selection;0,75675676;0,08108108;
lymph,arff;AMSO;0,75675676;0,06846846;
lymph,arff;GA;0,75675676;0,11081081;
autos,arff;Pearson Correlation Ranker;0,30392157;0,14705882;
autos,arff;Info Gain Ranker;0,30392157;0,07843137;
autos,arff;Random;0,30392157;-0,01666667;
autos,arff;Sequential Forward Selection;0,30392157;0,18627451;
autos,arff;Sequential Backward Selection;0,30392157;0,20588235;
autos,arff;AMSO;0,30392157;0,20065359;
autos,arff;GA;0,30392157;0,21437908;
breast-w,arff;Pearson Correlation Ranker;0,98280802;0,0;
breast-w,arff;Info Gain Ranker;0,98280802;0,0;
breast-w,arff;Sequential Forward Selection;0,98280802;-0,00286533;
breast-w,arff;Random;0,98280802;-0,01757402;
breast-w,arff;Sequential Backward Selection;0,98280802;0,0;
breast-w,arff;GA;0,98280802;0,00248329;
breast-w,arff;AMSO;0,98280802;3,8204E-4;
synthetic-control,arff;Sequential Forward Selection;0,0;0,0;
synthetic-control,arff;Random;0,0;0,0;
synthetic-control,arff;Pearson Correlation Ranker;0,0;0,0;
synthetic-control,arff;Info Gain Ranker;0,0;0,0;
synthetic-control,arff;GA;0,0;0,0;
synthetic-control,arff;Sequential Backward Selection;0,0;0,0;
synthetic-control,arff;AMSO;0,0;0,0;
sonar,arff;Random;0,02884615;-0,00480769;
sonar,arff;Info Gain Ranker;0,02884615;0,01923077;
sonar,arff;Pearson Correlation Ranker;0,02884615;0,03846154;
sonar,arff;Sequential Forward Selection;0,02884615;0,16346154;
sonar,arff;Sequential Backward Selection;0,02884615;0,07692308;
sonar,arff;AMSO;0,02884615;0,14839744;
sonar,arff;GA;0,02884615;0,11538462;
credit-a,arff;Pearson Correlation Ranker;0,80869565;0,08985507;
credit-a,arff;Info Gain Ranker;0,80869565;0,08985507;
credit-a,arff;Sequential Forward Selection;0,80869565;0,08985507;
credit-a,arff;Random;0,80869565;-0,12241546;
credit-a,arff;Sequential Backward Selection;0,80869565;0,08695652;
credit-a,arff;AMSO;0,80869565;0,09400966;
credit-a,arff;GA;0,80869565;0,10086957;
dermatology,arff;Random;0,92349727;-0,10582878;
dermatology,arff;Info Gain Ranker;0,92349727;0,01092896;
dermatology,arff;Pearson Correlation Ranker;0,92349727;0,01639344;
dermatology,arff;Sequential Forward Selection;0,92349727;0,03278688;
dermatology,arff;Sequential Backward Selection;0,92349727;0,03278688;
dermatology,arff;AMSO;0,92349727;0,00127504;
dermatology,arff;GA;0,92349727;0,04043715;
cylinder-bands,arff;Random;0,55185185;-0,01160494;
cylinder-bands,arff;Pearson Correlation Ranker;0,55185185;0,07407408;
cylinder-bands,arff;Info Gain Ranker;0,55185185;0,04814815;
cylinder-bands,arff;Sequential Forward Selection;0,55185185;0,14444445;
cylinder-bands,arff;Sequential Backward Selection;0,55185185;0,12592593;
cylinder-bands,arff;AMSO;0,55185185;0,06061729;
cylinder-bands,arff;GA;0,55185185;0,11271605;
audiology,arff;Random;0,50442478;-0,08967552;
audiology,arff;Info Gain Ranker;0,50442478;0,08849557;
audiology,arff;Pearson Correlation Ranker;0,50442478;0,09734513;
audiology,arff;Sequential Forward Selection;0,50442478;0,09734513;
audiology,arff;Sequential Backward Selection;0,50442478;0,1238938;
audiology,arff;AMSO;0,50442478;0,10707964;
audiology,arff;GA;0,50442478;0,13746313;
labor,arff;Pearson Correlation Ranker;0,75;0,03571429;
labor,arff;Info Gain Ranker;0,75;0,14285714;
labor,arff;Random;0,75;-0,0702381;
labor,arff;Sequential Forward Selection;0,75;0,07142857;
labor,arff;Sequential Backward Selection;0,75;0,14285714;
labor,arff;AMSO;0,75;0,10238095;
labor,arff;GA;0,75;0,15357143;
hepatitis,arff;hepatitis,arff;Pearson Correlation Ranker;0,67532468;0,06493506;
hepatitis,arff;Random;0,67532468;0,0012987;
hepatitis,arff;Sequential Forward Selection;0,67532468;0,1038961;
hepatitis,arff;Sequential Backward Selection;0,67532468;0,09090909;
hepatitis,arff;AMSO;0,67532468;0,07922077;
hepatitis,arff;GA;0,67532468;0,09134199;
heart-statlog,arff;Pearson Correlation Ranker;0,8;0,05925926;
heart-statlog,arff;Info Gain Ranker;0,8;0,05925926;
heart-statlog,arff;Random;0,8;-0,04197531;
heart-statlog,arff;Sequential Forward Selection;0,8;0,05925926;
heart-statlog,arff;Sequential Backward Selection;0,8;0,05185185;
heart-statlog,arff;AMSO;0,8;0,05827161;
heart-statlog,arff;GA;0,8;0,06888889;
soybean,arff;Random;0,86510264;-0,13040078;
soybean,arff;Pearson Correlation Ranker;0,86510264;0,0;
soybean,arff;Info Gain Ranker;0,86510264;0,0;
soybean,arff;Sequential Forward Selection;0,86510264;-0,04398827;
soybean,arff;Sequential Backward Selection;0,86510264;0,01759531;
soybean,arff;AMSO;0,86510264;-0,04740958;
soybean,arff;GA;0,86510264;0,01202346;
Hill_Valley_sample,arff;Random;0,53465347;0,00836084;
Hill_Valley_sample,arff;Info Gain Ranker;0,53465347;0,03960396;
Hill_Valley_sample,arff;Pearson Correlation Ranker;0,53465347;0,03630363;
Hill_Valley_sample,arff;Sequential Forward Selection;0,53465347;0,06930693;
Hill_Valley_sample,arff;Sequential Backward Selection;0,53465347;0,07920792;
Hill_Valley_sample,arff;AMSO;0,53465347;0,04411441;
Hill_Valley_sample,arff;GA;0,53465347;0,07656766;
glass,arff;Info Gain Ranker;0,58878505;0,04672897;
glass,arff;Pearson Correlation Ranker;0,58878505;0,06542056;
glass,arff;Sequential Forward Selection;0,58878505;0,09345794;
glass,arff;Random;0,58878505;-0,01339564;
glass,arff;Sequential Backward Selection;0,58878505;0,13084112;
glass,arff;GA;0,58878505;0,1258567;
glass,arff;AMSO;0,58878505;0,09781931;
ionosphere,arff;Random;0,93714286;-0,00228572;
ionosphere,arff;Pearson Correlation Ranker;0,93714286;0,03428571;
ionosphere,arff;Info Gain Ranker;0,93714286;0,02857143;
ionosphere,arff;Sequential Forward Selection;0,93714286;0,01142857;
ionosphere,arff;Sequential Backward Selection;0,93714286;0,04571428;
ionosphere,arff;AMSO;0,93714286;0,03866666;
ionosphere,arff;GA;0,93714286;0,04647619;
molecular-biology,arff;Random;0,28301887;-0,04150944;
molecular-biology,arff;Pearson Correlation Ranker;0,28301887;0,11320755;
molecular-biology,arff;Info Gain Ranker;0,28301887;0,0754717;
molecular-biology,arff;Sequential Forward Selection;0,28301887;0,18867924;
molecular-biology,arff;Sequential Backward Selection;0,28301887;0,15094339;
molecular-biology,arff;AMSO;0,28301887;0,15911949;
molecular-biology,arff;GA;0,28301887;0,19119497;
