Dataset;Feature Selection Algorithm;Baseline;Relative Fitness;
heart-c,arff;Sequential Forward Selection;0,17483444;0,35364238;
heart-c,arff;Random;0,17483444;0,2357848;
heart-c,arff;Sequential Backward Selection;0,17483444;0,3654098;
heart-c,arff;AMSO;0,17483444;0,36515792;
heart-c,arff;GA;0,17483444;0,36505748;
breast-cancer,arff;Pearson Correlation Ranker;0,1041958;0,4;
breast-cancer,arff;Info Gain Ranker;0,1041958;0,3902098;
breast-cancer,arff;Sequential Forward Selection;0,1041958;0,40979021;
breast-cancer,arff;Random;0,1041958;0,2973362;
breast-cancer,arff;Sequential Backward Selection;0,1041958;0,383106;
breast-cancer,arff;GA;0,1041958;0,40979021;
breast-cancer,arff;AMSO;0,1041958;0,40979021;
solar-flare,arff;Pearson Correlation Ranker;0,28695652;0,4;
solar-flare,arff;Info Gain Ranker;0,28695652;0,4;
solar-flare,arff;Sequential Forward Selection;0,28695652;0,4;
solar-flare,arff;Random;0,28695652;0,30653553;
solar-flare,arff;Sequential Backward Selection;0,28695652;0,4;
solar-flare,arff;AMSO;0,28695652;0,4;
solar-flare,arff;GA;0,28695652;0,4;
sponge,arff;Random;0,18947368;0,3120553;
sponge,arff;Info Gain Ranker;0,18947368;0,4;
sponge,arff;Pearson Correlation Ranker;0,18947368;0,4;
sponge,arff;Sequential Forward Selection;0,18947368;0,4;
sponge,arff;Sequential Backward Selection;0,18947368;0,4;
sponge,arff;AMSO;0,18947368;0,4;
sponge,arff;GA;0,18947368;0,39918247;
flags,arff;Pearson Correlation Ranker;-0,01752578;0,44042106;
flags,arff;Info Gain Ranker;-0,01752578;0,41784011;
flags,arff;Random;-0,01752578;0,27854209;
flags,arff;Sequential Forward Selection;-0,01752578;0,45700319;
flags,arff;Sequential Backward Selection;-0,01752578;0,39737848;
flags,arff;AMSO;-0,01752578;0,45140295;
flags,arff;GA;-0,01752578;0,4504387;
heart-h,arff;Info Gain Ranker;-0,20476191;0,4;
heart-h,arff;Pearson Correlation Ranker;-0,20476191;0,4;
heart-h,arff;Sequential Forward Selection;-0,20476191;0,4;
heart-h,arff;Random;-0,20476191;0,30360629;
heart-h,arff;Sequential Backward Selection;-0,20476191;0,4;
heart-h,arff;AMSO;-0,20476191;0,4;
heart-h,arff;GA;-0,20476191;0,4;
zoo,arff;Info Gain Ranker;0,174;0,35717683;
zoo,arff;Pearson Correlation Ranker;0,174;0,33673691;
zoo,arff;Random;0,174;0,28553533;
zoo,arff;Sequential Forward Selection;0,174;0,3651208;
zoo,arff;Sequential Backward Selection;0,174;0,38105006;
zoo,arff;AMSO;0,174;0,37973969;
zoo,arff;GA;0,174;0,38774972;
lymph,arff;Pearson Correlation Ranker;0,12972973;0,41555736;
lymph,arff;Info Gain Ranker;0,12972973;0,40541516;
lymph,arff;Random;0,12972973;0,28594245;
lymph,arff;Sequential Forward Selection;0,12972973;0,43346912;
lymph,arff;Sequential Backward Selection;0,12972973;0,38877748;
lymph,arff;AMSO;0,12972973;0,41271061;
lymph,arff;GA;0,12972973;0,42640589;
autos,arff;Pearson Correlation Ranker;-0,1872549;0,43512849;
autos,arff;Info Gain Ranker;-0,1872549;0,44550073;
autos,arff;Random;-0,1872549;0,30086937;
autos,arff;Sequential Forward Selection;-0,1872549;0,52591686;
autos,arff;Sequential Backward Selection;-0,1872549;0,49470638;
autos,arff;AMSO;-0,1872549;0,52835924;
autos,arff;GA;-0,1872549;0,52810004;
breast-w,arff;Pearson Correlation Ranker;0,28796561;0,36712526;
breast-w,arff;Info Gain Ranker;0,28796561;0,35910233;
breast-w,arff;Sequential Forward Selection;0,28796561;0,38997136;
breast-w,arff;Random;0,28796561;0,30748962;
breast-w,arff;Sequential Backward Selection;0,28796561;0,3831711;
breast-w,arff;GA;0,28796561;0,38834387;
breast-w,arff;AMSO;0,28796561;0,38702458;
synthetic-control,arff;Sequential Forward Selection;-0,4;0,4;
synthetic-control,arff;Random;-0,4;0,30100099;
synthetic-control,arff;Pearson Correlation Ranker;-0,4;0,4;
synthetic-control,arff;Info Gain Ranker;-0,4;0,4;
synthetic-control,arff;Sequential Backward Selection;-0,4;0,4;
synthetic-control,arff;AMSO;-0,4;0,4;
synthetic-control,arff;GA;-0,4;0,39800102;
sonar,arff;Random;-0,3798077;0,30011721;
sonar,arff;Info Gain Ranker;-0,3798077;0,40673078;
sonar,arff;Pearson Correlation Ranker;-0,3798077;0,4184235;
sonar,arff;Sequential Forward Selection;-0,3798077;0,51265426;
sonar,arff;Sequential Backward Selection;-0,3798077;0,3756892;
sonar,arff;AMSO;-0,3798077;0,50103741;
sonar,arff;GA;-0,3798077;0,46443406;
credit-a,arff;Info Gain Ranker;0,16608696;0,46289854;
credit-a,arff;Pearson Correlation Ranker;0,16608696;0,46289854;
credit-a,arff;Sequential Forward Selection;0,16608696;0,46289854;
credit-a,arff;Random;0,16608696;0,27598813;
credit-a,arff;Sequential Backward Selection;0,16608696;0,46289854;
credit-a,arff;AMSO;0,16608696;0,4626337;
credit-a,arff;GA;0,16608696;0,46206236;
dermatology,arff;Random;0,24644809;0,23187948;
dermatology,arff;Info Gain Ranker;0,24644809;0,295795;
dermatology,arff;Pearson Correlation Ranker;0,24644809;0,29610079;
dermatology,arff;Sequential Forward Selection;0,24644809;0,40481718;
dermatology,arff;Sequential Backward Selection;0,24644809;0,32019294;
dermatology,arff;AMSO;0,24644809;0,36685382;
dermatology,arff;GA;0,24644809;0,37633465;
cylinder-bands,arff;Random;-0,01370371;0,30108768;
cylinder-bands,arff;Pearson Correlation Ranker;-0,01370371;0,44907551;
cylinder-bands,arff;Info Gain Ranker;-0,01370371;0,41421705;
cylinder-bands,arff;Sequential Forward Selection;-0,01370371;0,49574217;
cylinder-bands,arff;Sequential Backward Selection;-0,01370371;0,42451589;
cylinder-bands,arff;AMSO;-0,01370371;0,42371964;
cylinder-bands,arff;GA;-0,01370371;0,45755629;
audiology,arff;Random;-0,04690265;0,23893594;
audiology,arff;Pearson Correlation Ranker;-0,04690265;0,46169503;
audiology,arff;Info Gain Ranker;-0,04690265;0,45883272;
audiology,arff;Sequential Forward Selection;-0,04690265;0,46338943;
audiology,arff;Sequential Backward Selection;-0,04690265;0,45731071;
audiology,arff;AMSO;-0,04690265;0,466616;
audiology,arff;GA;-0,04690265;0,44751199;
labor,arff;Pearson Correlation Ranker;0,125;0,40902861;
labor,arff;Info Gain Ranker;0,125;0,4;
labor,arff;Random;0,125;0,26030144;
labor,arff;Sequential Forward Selection;0,125;0,44262603;
labor,arff;Sequential Backward Selection;0,125;0,46231778;
labor,arff;AMSO;0,125;0,44209622;
labor,arff;GA;0,125;0,46718714;
hepatitis,arff;Pearson Correlation Ranker;0,07272728;0,43938949;
hepatitis,arff;Info Gain Ranker;0,07272728;0,4;
hepatitis,arff;Random;0,07272728;0,30669702;
hepatitis,arff;Sequential Forward Selection;0,07272728;0,44303391;
hepatitis,arff;Sequential Backward Selection;0,07272728;0,4420077;
hepatitis,arff;AMSO;0,07272728;0,44553028;
hepatitis,arff;GA;0,07272728;0,45232233;
heart-statlog,arff;Info Gain Ranker;0,16;0,4206904;
heart-statlog,arff;Pearson Correlation Ranker;0,16;0,4206904;
heart-statlog,arff;Random;0,16;0,2815795;
heart-statlog,arff;Sequential Forward Selection;0,16;0,4206904;
heart-statlog,arff;Sequential Backward Selection;0,16;0,38957929;
heart-statlog,arff;AMSO;0,16;0,41568086;
heart-statlog,arff;GA;0,16;0,41594343;
soybean,arff;Random;0,20557185;0,2239616;
soybean,arff;Pearson Correlation Ranker;0,20557185;0,29537556;
soybean,arff;Info Gain Ranker;0,20557185;0,3179562;
soybean,arff;Sequential Forward Selection;0,20557185;0,33724944;
soybean,arff;Sequential Backward Selection;0,20557185;0,29912158;
soybean,arff;AMSO;0,20557185;0,31940951;
soybean,arff;GA;0,20557185;0,33454996;
Hill_Valley_sample,arff;Random;-0,02574257;0,30487507;
Hill_Valley_sample,arff;Info Gain Ranker;-0,02574257;0,39991307;
Hill_Valley_sample,arff;Pearson Correlation Ranker;-0,02574257;0,40138261;
Hill_Valley_sample,arff;Sequential Forward Selection;-0,02574257;0,44303378;
Hill_Valley_sample,arff;AMSO;-0,02574257;0,41842161;
Hill_Valley_sample,arff;Sequential Backward Selection;-0,02574257;0,41337826;
Hill_Valley_sample,arff;GA;-0,02574257;0,4325509;
glass,arff;Info Gain Ranker;0,01214953;0,33660905;
glass,arff;Pearson Correlation Ranker;0,01214953;0,37849392;
glass,arff;Random;0,01214953;0,29561156;
glass,arff;Sequential Forward Selection;0,01214953;0,40447062;
glass,arff;Sequential Backward Selection;0,01214953;0,44391448;
glass,arff;GA;0,01214953;0,44086622;
glass,arff;AMSO;0,01214953;0,41650489;
ionosphere,arff;Random;0,256;0,31075437;
ionosphere,arff;Pearson Correlation Ranker;0,256;0,39369151;
ionosphere,arff;Info Gain Ranker;0,256;0,39744559;
ionosphere,arff;Sequential Forward Selection;0,256;0,40478812;
ionosphere,arff;Sequential Backward Selection;0,256;0,41369151;
ionosphere,arff;AMSO;0,256;0,40489057;
ionosphere,arff;GA;0,256;0,40868772;
molecular-biology,arff;Random;-0,20188679;0,26655556;
molecular-biology,arff;Info Gain Ranker;-0,20188679;0,44909037;
molecular-biology,arff;Pearson Correlation Ranker;-0,20188679;0,45824341;
molecular-biology,arff;Sequential Forward Selection;-0,20188679;0,52833565;
molecular-biology,arff;Sequential Backward Selection;-0,20188679;0,28723102;
molecular-biology,arff;AMSO;-0,20188679;0,48894322;
molecular-biology,arff;GA;-0,20188679;0,49762258;
