Dataset;Feature Selection Algorithm;Baseline;Relative Fitness;
Hill_Valley_sample,arff;Pearson Correlation Ranker;0,38118812;0,12247427;
Hill_Valley_sample,arff;Sequential Forward Selection;0,38118812;0,16100597;
Hill_Valley_sample,arff;Sequential Backward Selection;0,38118812;0,12446482;
Hill_Valley_sample,arff;AMSO;0,38118812;0,13489161;
Hill_Valley_sample,arff;GA;0,38118812;0,16484014;
glass,arff;Info Gain Ranker;0,42990654;0,11803077;
glass,arff;Pearson Correlation Ranker;0,42990654;0,12313445;
glass,arff;Sequential Backward Selection;0,42990654;0,18201296;
glass,arff;Random;0,42990654;0,07206586;
glass,arff;Sequential Forward Selection;0,42990654;0,16887467;
glass,arff;GA;0,42990654;0,19739954;
glass,arff;AMSO;0,42990654;0,16968968;
ionosphere,arff;Random;0,74342857;0,07442575;
ionosphere,arff;Pearson Correlation Ranker;0,74342857;0,11086235;
ionosphere,arff;Info Gain Ranker;0,74342857;0,11871706;
ionosphere,arff;Sequential Forward Selection;0,74342857;0,10948275;
ionosphere,arff;Sequential Backward Selection;0,74342857;0,10415662;
ionosphere,arff;AMSO;0,74342857;0,12708587;
ionosphere,arff;GA;0,74342857;0,13239882;
molecular-biology,arff;Random;0,15471698;0,04977894;
molecular-biology,arff;Pearson Correlation Ranker;0,15471698;0,18295708;
molecular-biology,arff;Info Gain Ranker;0,15471698;0,16698958;
molecular-biology,arff;Sequential Forward Selection;0,15471698;0,26887636;
molecular-biology,arff;Sequential Backward Selection;0,15471698;0,18124172;
molecular-biology,arff;AMSO;0,15471698;0,23056545;
molecular-biology,arff;GA;0,15471698;0,25783881;
