Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
mu284-880.arff,10,2,284,0.25,0.075,3.9152893,1.7058937,0.4795011,0,1,0.0590422,0.3372198,1.9289054,0,1,0.0590422,0.3215265,1.6514719,0.5877193,0.5877193,0.5877193,0.5877193,0.5877193,0.5877193,0.5
fri_c3_100_50-716.arff,50,2,100,0.052,0.003,24.9456427,10.477086,1.1607988,0,0.4284889,0,0.066264,5.5027682,0,0.4284889,0,0.0656112,5.3394941,0.68375,0.6366667,0.675,0.6875,0.6,0.6875,0.6875
cylinder-bands-6332.arff,39,2,540,0.0653846,0.0064103,19.4018655,6.7543626,2.1481267,0,0.8356993,0.0168292,0.1781502,3.9351741,0,0.8356993,0.0168292,0.1759093,3.7859093,0.5652778,0.5866512,0.5787037,0.6087963,0.5416666,0.5486111,0.5231482
fri_c3_1000_50-806.arff,50,2,1000,0.002,0.001,24.9531854,8.8218869,2.1278769,0,0.3411049,0,0.0626302,4.6145973,0,0.3411049,0,0.0620131,4.4776763,0.6359167,0.584,0.55125,0.63625,0.63375,0.635,0.63375
molecular-biology_promoters-164.arff,58,4,106,0.0456897,0.0025862,28.9385515,11.9224169,1.2969539,0.0167458,1.9595383,0.0655161,0.2510511,7.3644141,0.0167458,1.9595383,0.0655161,0.2489145,7.1757702,0.5845238,0.6075397,0.6071428,0.5595238,0.5238096,0.547619,0.5357143
fri_c1_500_50-766.arff,50,2,500,0.005,0.001,24.9121925,8.8322345,2.1311117,0,0.3671997,0,0.0630203,5.0238461,0,0.3671997,0,0.0623994,4.8747822,0.6775,0.6126667,0.5975,0.68,0.6775,0.6475,0.6775
autos-975.arff,25,2,205,0.058,0.006,12.4116285,4.8765277,1.6313902,0,0.3349123,0.0295371,0.0814738,1.725391,0,0.3349123,0.0295371,0.0798916,1.6239924,0.6506098,0.6660569,0.6219512,0.6280488,0.5853658,0.6280488,0.6036586
TuningSVMs-41976.arff,81,2,156,0.1703704,0.0037037,40.4607273,15.7808601,1.650196,0,0.9305861,0,0.1080214,7.6376651,0,0.9305861,0,0.1073608,7.4972071,0.5706989,0.6075269,0.6209677,0.6209677,0.5483871,0.5403226,0.5645161
flags-1012.arff,29,2,194,0.0448276,0.0051724,14.4439768,5.4805285,1.4625094,0,0.9390302,0.0157498,0.1732047,4.9340322,0,0.9390302,0.0157498,0.1702935,4.6834233,0.5611111,0.5788462,0.576923,0.5961538,0.551282,0.5192308,0.5641026
ar6-1064.arff,29,2,101,0.1844828,0.012069,14.4315406,5.1608529,2.1248501,0,0.0950202,0,0.0326699,1.9513095,0,0.0950202,0,0.0321208,1.8521988,0.6245833,0.6379167,0.625,0.625,0.6,0.5625,0.5875
fri_c4_250_50-918.arff,50,2,250,0.015,0.002,24.9180248,9.7597165,1.6438162,0,0.3405203,0,0.0642647,4.2996232,0,0.3405203,0,0.0636315,4.1720479,0.6798333,0.6275,0.615,0.69,0.685,0.675,0.66
fri_c4_100_10-878.arff,10,2,100,0.03,0.01,4.890873,1.8750647,1.2148382,0,0.3657657,0,0.117259,2.7136265,0,0.3657657,0,0.1118021,2.3233269,0.5858333,0.5995833,0.6,0.6,0.5375,0.525,0.6
TuningSVMs-41977.arff,91,2,156,0.1857143,0.0076923,45.4532759,17.5896274,1.6665676,0,0.9520403,0,0.109802,6.7569942,0,0.9520403,0,0.1092036,6.6463052,0.5741935,0.6064516,0.6048387,0.5967742,0.5564516,0.532258,0.5725806
autoHorse-840.arff,25,2,205,0.084,0.01,12.4151001,4.8782278,1.3409067,0,0.5725018,0.2003176,0.2010107,0.2979577,0,0.5725018,0.2003176,0.1971072,0.2804472,0.5593496,0.5792683,0.5792683,0.5853658,0.5121951,0.5731707,0.554878
fri_c1_1000_25-917.arff,25,2,1000,0,0,12.3164719,4.3757625,1.8138351,0,0.3094534,0,0.0828737,3.1472204,0,0.3094534,0,0.0812643,2.9622631,0.634875,0.6337917,0.57375,0.64625,0.635,0.635,0.635
pbc-810.arff,18,2,418,0.0083333,0.0027778,8.6214163,3.2680434,1.672215,0,0.1485287,0.0210147,0.0397673,1.736557,0,0.1485287,0.0210147,0.0387067,1.595755,0.5608782,0.5832335,0.5748503,0.5898204,0.5329341,0.5269461,0.517964
arrhythmia-5.arff,279,16,452,0.397491,0.0039427,139.2897488,42.8704835,2.8879391,0,0.3638175,0,0.081053,1.6761445,0,0.3638175,0,0.0809081,1.6671516,0.5722836,0.5434623,0.5662984,0.6132596,0.558011,0.5662984,0.5414364
clean1-40665.arff,168,2,476,0.1196429,0.0029762,83.5873224,34.071735,1.6246505,0,0.9877271,0.0581396,0.0908437,7.7190307,0,0.9877271,0.0581396,0.0905745,7.6503457,0.7631579,0.692193,0.7105263,0.7631579,0.7631579,0.7631579,0.7631579
lsvt-1484.arff,310,2,126,0.6625806,0.0069355,154.908716,57.2618291,1.8673076,0,0.3516836,0,0.0789735,1.1742316,0,0.3516836,0,0.0788464,1.1685604,0.6233333,0.629,0.65,0.65,0.6,0.58,0.59
hepatitis-55.arff,19,2,155,0.1131579,0.0105263,9.3713422,3.1790763,2.1842088,0,0.182457,0.059379,0.0519777,0.7261212,0,0.182457,0.059379,0.0506616,0.6702787,0.5607527,0.5771505,0.5645161,0.5564516,0.5483871,0.5241936,0.5080645
kc1-binary-1066.arff,94,2,145,0.4143617,0.0111702,46.8060569,18.1283803,1.662071,0,0.3273674,0.2228146,0.1217697,-0.4450299,0,0.3273674,0.2228146,0.1211271,-0.437971,0.5439655,0.5689655,0.5862069,0.5431034,0.525862,0.525862,0.5172414
colic-25.arff,27,2,368,0.0259259,0.0037037,13.3083728,5.1384575,1.64442,0,0.8688608,0.0064588,0.1698777,4.6033027,0,0.8688608,0.0064588,0.1668166,4.3524724,0.5634921,0.5900227,0.5986394,0.5918368,0.5340136,0.5306122,0.5714286
autos-9.arff,25,7,205,0.078,0.008,12.4176676,4.6301806,1.7088514,0,1.1895624,0.2688957,0.3105035,1.3215877,0,1.1895624,0.2688957,0.3044737,1.2439201,0.620122,0.6203252,0.6036586,0.6280488,0.5609756,0.5853658,0.5792683
fri_c2_1000_50-866.arff,50,2,1000,0.005,0.002,24.7719712,8.6617564,2.1441393,0,0.4485162,0,0.0772796,4.9717158,0,0.4485162,0,0.0765183,4.8241987,0.64375,0.596625,0.5775,0.64125,0.64375,0.64375,0.64375
fri_c3_250_25-832.arff,25,2,250,0.018,0.004,12.41561,4.6396475,1.5625318,0,0.3912851,0,0.0927952,3.4011396,0,0.3912851,0,0.0909932,3.2012598,0.635,0.6203333,0.57,0.635,0.635,0.61,0.635
fri_c3_500_25-896.arff,25,2,500,0.012,0.002,12.452651,4.402658,1.9161878,0,0.3197641,0,0.0877546,3.1587084,0,0.3197641,0,0.0860504,2.973076,0.6125,0.6005,0.5475,0.6125,0.6125,0.6125,0.6125
TuningSVMs-41978.arff,81,2,156,0.1734568,0.0030864,40.3816678,15.4345904,1.6891965,0,0.9694309,0,0.1124993,7.5530817,0,0.9694309,0,0.1118112,7.4141792,0.5494624,0.580914,0.5806452,0.5645162,0.5241936,0.516129,0.5403226
fri_c4_250_100-834.arff,100,2,250,0.0155,0.001,49.9036962,20.0362344,1.6278545,0,0.4040224,0,0.0530359,6.7751634,0,0.4040224,0,0.0527727,6.6741107,0.6283333,0.581,0.645,0.64,0.6,0.635,0.635
fri_c2_500_50-920.arff,50,2,500,0.003,0.001,24.7481905,9.6292954,1.6430673,0,0.4633183,0,0.0848273,4.8139646,0,0.4633183,0,0.0839915,4.6711282,0.6625,0.6023333,0.62,0.665,0.6625,0.6625,0.6625
fri_c1_100_25-812.arff,25,2,100,0.048,0.004,12.4410225,5.0927349,1.2884133,0,0.4320582,0,0.1120827,3.3287852,0,0.4320582,0,0.1099061,3.1331576,0.5870833,0.5916667,0.5875,0.6125,0.55,0.5875,0.5875
calendarDOW-40663.arff,32,5,399,0.0328125,0.003125,15.9077469,5.6318093,2.1293207,0,0.6490628,0.185729,0.1704995,1.2058527,0,0.6490628,0.185729,0.1678963,1.1502615,0.5380208,0.5629167,0.5625,0.56875,0.50625,0.51875,0.5125
fri_c1_250_50-769.arff,50,2,250,0.01,0.002,24.8360875,9.7931136,1.6332803,0,0.393684,0,0.0667262,4.8158392,0,0.393684,0,0.0660688,4.6729472,0.66,0.5988333,0.605,0.66,0.65,0.66,0.66
arrhythmia-1017.arff,279,2,452,0.2827957,0.0035842,139.3553423,47.9207738,2.1737131,0,0.1177981,0.0050022,0.0277438,1.2579224,0,0.1177981,0.0050022,0.0276942,1.2511734,0.592081,0.5580111,0.5662984,0.6077348,0.5552486,0.5469614,0.5745856
robot-failures-lp5-1520.arff,90,5,164,0.5794444,0.0138889,44.9184915,13.8099592,2.8879468,0,0.8199432,0.3427202,0.1889187,-0.1473396,0,0.8199432,0.3427202,0.1878779,-0.1448993,0.5578283,0.5684343,0.560606,0.5757576,0.5454546,0.5151515,0.5151515
fri_c1_250_25-746.arff,25,2,250,0.022,0.004,12.4651261,4.4312628,2.1256329,0,0.3513711,0,0.0895644,3.1849124,0,0.3513711,0,0.0878251,2.99774,0.635,0.6086667,0.58,0.635,0.575,0.59,0.6
fri_c0_250_25-773.arff,25,2,250,0.004,0.002,12.4606921,4.8568319,1.3431154,0,0.1475908,0,0.0408895,2.1129014,0,0.1475908,0,0.0400955,1.9887294,0.5883333,0.5855,0.6,0.62,0.58,0.58,0.56
fri_c0_250_50-732.arff,50,2,250,0.019,0.002,24.9346217,9.9408131,1.4187729,0,0.1474185,0,0.0281287,4.1768162,0,0.1474185,0,0.0278516,4.0528848,0.5728333,0.572,0.56,0.605,0.56,0.545,0.56
molecular-biology_promoters-956.arff,58,2,106,0.0439655,0.0025862,28.9370948,11.5620884,1.4168407,0.0008113,0.9052003,0.0212402,0.117153,7.2564713,0.0008113,0.9052003,0.0212402,0.1161559,7.0705924,0.5623016,0.5833333,0.5833334,0.5833334,0.5238095,0.5238095,0.5238095
threeOf9-40690.arff,9,2,512,0.0111111,0.0111111,4.4385851,1.4849856,1.8719847,0.0063811,0.0684096,0.0429575,0.0228113,-0.0187801,0.0063811,0.0684096,0.0429575,0.0216407,-0.0157867,0.4443089,0.502439,0.502439,0.5,0.5,0.5,0.5
DiabeticMellitus-41430.arff,97,2,281,0.0762887,0.0020619,48.4079006,18.9501661,1.6441721,0,0.885679,0,0.0925513,9.0249487,0,0.885679,0,0.0920779,8.8862005,0.6741072,0.6308036,0.6160714,0.6741072,0.6741072,0.6741072,0.6741072
plasma_retinol-915.arff,13,2,315,0.0192308,0.0115385,6.3678694,1.9716226,2.6231432,0,0.0383232,0,0.0107239,3.0076943,0,0.0383232,0,0.0103338,2.6726716,0.5518519,0.5658731,0.563492,0.5396826,0.5396826,0.5277778,0.5079365
flags-285.arff,29,8,194,0.0310345,0.0051724,14.4268536,5.6361619,1.4709631,0,2.3216834,0.1281052,0.4348347,4.147438,0,2.3216834,0.1281052,0.4275261,3.9367817,0.550641,0.5679487,0.576923,0.5384615,0.5448718,0.5192308,0.5448718
vehicle-54.arff,18,4,846,0.0055556,0.0027778,8.9292929,3.0317412,2.1477504,0.0545856,0.5710829,0.2306834,0.1680381,0.6131281,0.0545856,0.5710829,0.2306834,0.1635563,0.563415,0.5197732,0.5387081,0.5384616,0.4822486,0.5,0.525148,0.5236686
auto_price-745.arff,15,2,159,0.0433333,0.0066667,7.3250729,2.9459757,1.3119478,0,0.6926492,0.6009105,0.2777764,-0.5318863,0,0.6926492,0.6009105,0.2689558,-0.4803556,0.6481771,0.65,0.6484375,0.640625,0.6484375,0.6328125,0.59375
stock-841.arff,9,2,950,0.3333333,0.0611111,4.4602356,1.3415488,2.4909945,0.0911666,0.6476425,0.2805076,0.1835353,0.7669621,0.0911666,0.6476425,0.2805076,0.1741168,0.6447126,0.5487719,0.5537719,0.5276316,0.55,0.5,0.5013158,0.5013158
fri_c0_1000_50-904.arff,50,2,1000,0.005,0.001,24.9548063,9.3036036,1.5350909,0,0.1623841,0,0.0343615,3.7395741,0,0.1623841,0,0.034023,3.6286163,0.6163333,0.56925,0.5725,0.6225,0.60625,0.61375,0.61375
glass-41.arff,9,7,214,0.0166667,0.0055556,4.3039506,1.5171902,1.8243902,0,0.5661882,0.41235,0.203333,-0.9323356,0,0.5661882,0.41235,0.1928986,-0.7837264,0.5484496,0.5542636,0.5581396,0.5406976,0.505814,0.5116279,0.5348837
vowel-307.arff,12,11,990,0.0166667,0.0041667,5.8419377,2.209194,1.4592075,0,1.0587128,0.1716574,0.3574244,1.5259695,0,1.0587128,0.1716574,0.3434022,1.3422079,0.5323232,0.5640573,0.5681818,0.5631314,0.544192,0.5252526,0.520202
fri_c1_500_25-779.arff,25,2,500,0.01,0.004,12.407737,4.6631102,1.662309,0,0.275741,0,0.0784203,2.9129689,0,0.275741,0,0.0768974,2.7417781,0.5975,0.5779167,0.55,0.5975,0.5975,0.5975,0.5975
bridges-327.arff,12,6,105,0.3083333,0.0625,5.96875,1.9075873,2.3342637,0,2.3176028,0.3626326,0.6759938,1.867465,0,2.3176028,0.3626326,0.6494738,1.6425796,0.5511905,0.559127,0.547619,0.5119048,0.5119048,0.5119048,0.5119048
mc2-1054.arff,39,2,161,0.3012821,0.0230769,19.4667216,6.8438935,2.130628,0,0.167508,0.079813,0.046602,0.0692169,0,0.167508,0.079813,0.0460158,0.0665914,0.5861979,0.6007813,0.5859375,0.6015625,0.5625,0.5703125,0.5546875
SPECTF-1600.arff,44,2,267,0.0295455,0.0022727,21.9624486,7.7883438,2.1270849,0,0.1550945,0.0432889,0.0433274,0.6878012,0,0.1550945,0.0432889,0.0428433,0.6646428,0.5834891,0.5961059,0.6028038,0.593458,0.5607476,0.5607476,0.5560748
lowbwt-941.arff,9,2,189,0.0666667,0.0166667,4.3445102,1.5564418,1.8005704,0,0.4532768,0.0277718,0.143299,2.8551585,0,0.4532768,0.0277718,0.1359453,2.4000618,0.5921052,0.5894736,0.5723684,0.5921052,0.5921052,0.5460526,0.5657894
fri_c2_250_50-877.arff,50,2,250,0.013,0.002,24.8836779,9.7592041,1.6367859,0,0.4273215,0,0.077264,4.9229381,0,0.4273215,0,0.0765027,4.7768683,0.6368333,0.5991667,0.595,0.64,0.63,0.63,0.63
fri_c0_500_50-888.arff,50,2,500,0.004,0.002,24.8597119,9.7318005,1.6370985,0,0.1922456,0,0.0329035,4.434747,0,0.1922456,0,0.0325793,4.3031625,0.5813333,0.5516667,0.55,0.595,0.5725,0.5725,0.5725
KnuggetChase3-1448.arff,39,2,194,0.1692308,0.0076923,19.3468026,6.4060044,2.2668114,0,0.0896664,0,0.0237084,2.2121485,0,0.0896664,0,0.0234101,2.1282397,0.5553419,0.5632479,0.551282,0.5641026,0.5448718,0.5320512,0.5192308
usp05-1047.arff,16,11,203,0.021875,0.00625,7.8268141,3.1813623,1.3002051,0.1247355,1.8607516,0.7446194,0.5485053,0.280298,0.1247355,1.8607516,0.7446194,0.5321283,0.2547996,0.5493827,0.5432098,0.537037,0.5493827,0.5432098,0.5308642,0.5061728
analcatdata_marketing-986.arff,32,2,364,0.0125,0.003125,15.9718944,5.6505253,2.127444,0.0010591,0.024137,0.0065796,0.0058777,1.091111,0.0010591,0.024137,0.0065796,0.0057879,1.0408095,0.5805936,0.5836758,0.5821918,0.5753425,0.5479452,0.5616438,0.5410959
fri_c2_500_10-869.arff,10,2,500,0,0,4.715,1.7725765,1.4206304,0,0.4305882,0,0.1629321,1.7876058,0,0.4305882,0,0.1553497,1.5304953,0.5970833,0.6068333,0.575,0.6075,0.6025,0.565,0.6075
sa-heart-1498.arff,9,2,462,0.0111111,0.0055556,4.4560023,1.396542,2.2647387,0,0.1200494,0.0374735,0.0420651,0.8990979,0,0.1200494,0.0374735,0.0399064,0.7557866,0.5227928,0.5331532,0.5405406,0.5,0.5,0.5,0.5
soybean-42.arff,35,19,683,0.04,0.0042857,17.3894536,6.6646276,1.5574379,0.0460895,1.1517242,0.361351,0.3029631,0.6007647,0.0460895,1.1517242,0.361351,0.2987256,0.5754097,0.479243,0.5095849,0.5128206,0.4725275,0.5,0.5,0.5
fri_c3_250_10-793.arff,10,2,250,0.025,0.015,4.8203813,1.8457028,1.3272036,0,0.4257406,0,0.1600784,1.7836917,0,0.4257406,0,0.1526288,1.5271442,0.6246667,0.625,0.62,0.625,0.625,0.585,0.625
fri_c2_250_25-794.arff,25,2,250,0.014,0.004,12.4119344,4.7623496,1.6482665,0,0.4670314,0,0.1119863,3.3968921,0,0.4670314,0,0.1098116,3.197262,0.636,0.6388333,0.62,0.66,0.625,0.62,0.635
eucalyptus-990.arff,19,2,736,0.0263158,0.0078947,9.2600781,3.7147219,1.3152362,0,0.1643837,0.0664077,0.0499598,0.2526192,0,0.1643837,0.0664077,0.0486948,0.2331914,0.5575397,0.5770408,0.585034,0.5714286,0.547619,0.5459184,0.5459184
dresses-sales-23381.arff,12,2,500,0.0083333,0.0041667,5.7392475,1.762078,2.7255218,0,0.0504273,0.0206098,0.016839,0.2500628,0,0.0504273,0.0206098,0.0161784,0.2199496,0.5354167,0.5389167,0.54,0.5375,0.5025,0.5325,0.5325
fri_c2_100_25-775.arff,25,2,100,0.028,0.004,12.3364866,5.253751,1.0048454,0,0.3759747,0,0.102569,3.29898,0,0.3759747,0,0.1005772,3.105104,0.6566667,0.6541667,0.625,0.65,0.6625,0.6375,0.6625
fri_c0_100_25-889.arff,25,2,100,0.03,0.006,12.3848741,5.3526314,0.9867209,0,0.1676317,0,0.0421363,3.3713606,0,0.1676317,0,0.0413181,3.1732309,0.57625,0.58875,0.5875,0.575,0.6,0.5875,0.5625
autoUniv-au7-700-1553.arff,12,3,700,0.0083333,0.0041667,5.8199177,1.866408,2.3963324,0,0.186299,0.0004561,0.0533056,3.2680812,0,0.186299,0.0004561,0.0512143,2.8745296,0.5701785,0.5786904,0.5660714,0.5821428,0.5446428,0.5446428,0.5714286
qsar-biodeg-1494.arff,41,2,1055,0.0341463,0.002439,20.4281894,6.216197,2.8887446,0,0.2176014,0.0568005,0.0549338,0.8062305,0,0.2176014,0.0568005,0.0542759,0.7771229,0.5152449,0.528673,0.5390996,0.5201422,0.5023697,0.5082938,0.5082938
autoUniv-au6-750-1549.arff,40,8,750,0.0175,0.0025,19.9500573,6.0673228,2.888826,0,0.0101529,0,0.0019595,4.1753624,0,0.0101529,0,0.0019355,4.0208968,0.5368889,0.5291111,0.5366667,0.5433334,0.5066667,0.53,0.5183334
heart-statlog-53.arff,13,2,270,0.0115385,0.0038462,6.3795201,2.1224567,2.1503609,0,0.2030302,0.1099167,0.0722601,0.0659822,0,0.2030302,0.1099167,0.0696315,0.0586325,0.5421296,0.5546296,0.5462963,0.5416666,0.5416666,0.5462963,0.5185185
breastTumor-844.arff,9,2,286,0.0333333,0.0111111,4.4525646,1.4583436,2.2528319,0,0.0926809,0.0202303,0.0280631,1.9558752,0,0.0926809,0.0202303,0.026623,1.6441194,0.5445907,0.5542398,0.5394737,0.5614035,0.5526316,0.5394737,0.5263158
autoUniv-au6-400-1551.arff,40,8,400,0.0125,0.0025,19.9543018,6.7038159,2.2151925,0,0.234314,0,0.0373067,6.082044,0,0.234314,0,0.0368489,5.8570415,0.5596875,0.5636458,0.571875,0.575,0.54375,0.540625,0.5625
MindCave2-1450.arff,39,2,125,0.174359,0.0076923,19.4408156,7.1013492,1.8915269,0,0.1408904,0.0803507,0.0537706,-0.0015271,0,0.1408904,0.0803507,0.0530942,-0.0014692,0.5233333,0.5543333,0.55,0.52,0.52,0.52,0.52
chatfield_4-820.arff,12,2,235,0.0625,0.0083333,5.824768,1.8163586,2.4740524,0,0.7022796,0.4322074,0.1688516,-1.3338022,0,0.7022796,0.4322074,0.1622273,-1.173182,0.5585106,0.5601064,0.5478724,0.5585106,0.5425532,0.5425532,0.5265958
zoo-62.arff,17,7,101,0.2264706,0.0235294,8.438359,3.0448163,1.7465499,0.0506688,2.3905597,0.614494,0.5516544,1.9230332,0.0506688,2.3905597,0.614494,0.5361117,1.7581538,0.51625,0.5329167,0.525,0.5,0.525,0.5,0.5
boston-853.arff,13,2,506,0.0230769,0.0153846,6.2690329,2.4688203,1.1460375,0.0054437,0.4661584,0.1556202,0.1212866,1.0322585,0.0054437,0.4661584,0.1556202,0.1168747,0.9172767,0.5347359,0.5396039,0.5321782,0.5074258,0.5346534,0.529703,0.529703
fri_c2_100_10-762.arff,10,2,100,0.045,0.015,4.8308062,1.8990367,1.3262302,0,0.3966081,0,0.1444159,1.9501749,0,0.3966081,0,0.1376952,1.6696822,0.5625,0.5945833,0.5875,0.5875,0.5625,0.5625,0.5625
fri_c2_100_50-922.arff,50,2,100,0.042,0.004,24.8346618,11.1384491,0.7910009,0,0.5591893,0,0.1040406,4.6295332,0,0.5591893,0,0.1030156,4.4921691,0.6375,0.60625,0.625,0.6375,0.6125,0.6375,0.6375
regime_alimentaire-42172.arff,19,2,202,0.0578947,0.0078947,9.4730624,3.0342809,2.1862218,0.0091414,0.4087815,0.0343901,0.1035764,2.4085651,0.0091414,0.4087815,0.0343901,0.1009538,2.2233337,0.5851852,0.577572,0.5679012,0.5864198,0.5679012,0.5679012,0.5555556
autoUniv-au7-500-1554.arff,12,5,500,0.0041667,0.0041667,5.8647337,2.0938112,1.7330496,0,0.0843291,0,0.0268003,1.8877226,0,0.0843291,0,0.0257489,1.6603977,0.5076667,0.5241667,0.53,0.53,0.5,0.5,0.5175
